platform,show_id,title,content_type,release_year,rating,duration_value,duration_unit,primary_genre,genres,country,date_added,director,description
Amazon Prime,s6599,American Commando,TV Show,1988,16+,1.0,season,Action,Action,,,,"Grindhouse B-movie fanatics - In this three-part American Commando series, only the most skilled American Commandos can come and save the day. In Angel's Blood Mission, John Foey takes out crime boss Barton. In Hunting Express, Hank explores the underworld of Japan. Finally, in Savage Temptation, Nora and her brother are rescued by two American Commandos in Vietnam."
Amazon Prime,s6600,Alone With Her Dreams,Movie,2020,18+,100.0,min,Arthouse,"Arthouse, Drama",,,Paolo Licata,"Lucia must stay behind under the care of her stern and overbearing grandmother in 1960's Sicily, while her parents and younger brother emigrate to France to find work. The girl mopes the days away and grows increasingly curious about her grandmother's hatred towards other members of the family on the island, until one day she discovers the reason why and uncovers a terrible secret."
Amazon Prime,s6601,Acapulco Gold,Movie,1976,13+,88.0,min,Action,"Action, Drama, Suspense",,,Burt Brinckerhoff,An ordinary man gets involved in a dangerous drug smuggling scheme in beautiful Hawaii.
Amazon Prime,s6602,Abducted: The Jocelyn Shaker Story,Movie,2016,UNRATED,87.0,min,Suspense,Suspense,,,Conor Allyn,"When seven-year-old Jocelyn Shaker is abducted from a Colombian resort, her American mother, Caitlin, and Colombian stepfather, Javier, are the focus of the police's investigation. Caitlin begins her own search after Javier becomes the primary suspect."
Amazon Prime,s6603,A Werewolf In England,Movie,2021,18+,85.0,min,Horror,Horror,,,Charlie Steeds,"In Victorian England, two men take refuge from a storm at a remote Inn. When they uncover a deadly pact between the strange Innkeepers and the flesh-hungry werewolves that inhabit the surrounding area, the only option is a tooth and nail fight."
Amazon Prime,s6604,A State of Mind,Movie,2021,18+,89.0,min,Drama,"Drama, Special Interest",,,Mike  Berry,"Three generations of Thomas men have all taken their own lives while battling depression. Darius Thomas must decide if he will face the beast head on, or crash right into his family's history."
Amazon Prime,s6605,A Dog Barking at the Moon,Movie,2019,16+,108.0,min,Drama,"Drama, LGBTQ, Suspense",,,Lisa Zi Xiang,"A Chinese family saga, told in different periods of time, commencing with the wife's discovery of her husband's homosexuality. When her adult daughter comes to visit, other secrets slowly come to light."
Amazon Prime,s6606,4X4,Movie,2021,16+,92.0,min,Horror,"Horror, Suspense",,,Mariano Cohn,A high-end 4x4 car with a special security system will be the battleground between a brash thief trapped inside and the mysterious man who will do anything to keep him imprisoned.
Amazon Prime,s6607,2nd Chances,Movie,2021,13+,79.0,min,Drama,"Drama, Kids, Special Interest",,,Elijah Holston,Uncertain of faith and in search of answers Cameron struggles with the guilt he harbors for not saving his best friend from a fireworks accident.
Amazon Prime,s6608,Zabardast,Movie,2007,ALL,142.0,min,Arts,"Arts, Entertainment, and Culture",India,,Mahesh Kothare,"Pushkar finds a magic coat that fulfils wishes once someone wears it. Using it, he decides to impress the girl he loves and enter a dance reality show with her. Will he win the competition?"
Amazon Prime,s6609,The Inspector Wears Skirts,Movie,1989,13+,97.0,min,Action,"Action, Comedy",,,Wellson Chin Sing-Wai,"Four new Banshee Squad Members join the Hong Kong Police Academy to undergo training supervised by Madam Wu (Sibelle Hu). Their personalities don't click with the current Squad Members, resulting in petty arguments and duels."
Amazon Prime,s6610,The Hurricane,Movie,1938,13+,104.0,min,Action,"Action, Drama, Romance",,,John Ford,A Polynesian sailor – unjustly imprisoned after defending himself against a colonial bully – is relentlessly persecuted by his island's martinet French governor.
Amazon Prime,s6611,The Deep,TV Show,2010,TV-14,1.0,season,TV Shows,TV Shows,,,,"Far below the Arctic ice, the crew of an oceanographer's submarine are searching for new life forms. When inexplicable circumstances cause catastrophe to strike, the crew find themselves stranded with no power, limited oxygen and no communication with the surface. And they are completely alone - or so they think. Can they stay alive long enough to uncover the mystery of what they have found?"
Amazon Prime,s6612,Still The Water,Movie,2021,16+,100.0,min,Drama,"Drama, Romance",,,Susan Rodgers,Still the Water is a dramatic feature film about brothers who try to reconnect many years after a domestic tragedy tore them apart.
